w	gain	V(onoise)
6.338259329289189e+05	3.279626e-01	1.243168e-10
6.352870526042669e+05	3.272930e-01	1.240628e-10
6.367515405083268e+05	3.266245e-01	1.238092e-10
6.382194044056679e+05	3.259570e-01	1.235559e-10
6.396906520787582e+05	3.252905e-01	1.233031e-10
6.411652913280067e+05	3.246250e-01	1.230506e-10
6.426433299718036e+05	3.239605e-01	1.227985e-10
6.441247758465628e+05	3.232971e-01	1.225469e-10
6.456096368067629e+05	3.226347e-01	1.222956e-10
6.470979207249888e+05	3.219733e-01	1.220447e-10
6.485896354919737e+05	3.213130e-01	1.217942e-10
6.500847890166409e+05	3.206536e-01	1.215441e-10
6.515833892261453e+05	3.199953e-01	1.212943e-10
6.530854440659164e+05	3.193380e-01	1.210450e-10
6.545909614996990e+05	3.186818e-01	1.207961e-10
6.560999495095970e+05	3.180265e-01	1.205475e-10
6.576124160961146e+05	3.173724e-01	1.202994e-10
6.591283692781989e+05	3.167192e-01	1.200516e-10
6.606478170932829e+05	3.160670e-01	1.198043e-10
6.621707675973276e+05	3.154159e-01	1.195573e-10
6.636972288648649e+05	3.147658e-01	1.193107e-10
6.652272089890407e+05	3.141168e-01	1.190645e-10
6.667607160816571e+05	3.134687e-01	1.188187e-10
6.682977582732162e+05	3.128217e-01	1.185733e-10
6.698383437129626e+05	3.121758e-01	1.183283e-10
6.713824805689269e+05	3.115308e-01	1.180837e-10
6.729301770279690e+05	3.108869e-01	1.178395e-10
6.744814412958217e+05	3.102440e-01	1.175956e-10
6.760362815971334e+05	3.096022e-01	1.173522e-10
6.775947061755128e+05	3.089614e-01	1.171092e-10
6.791567232935717e+05	3.083216e-01	1.168665e-10
6.807223412329697e+05	3.076828e-01	1.166242e-10
6.822915682944569e+05	3.070451e-01	1.163824e-10
6.838644127979191e+05	3.064084e-01	1.161409e-10
6.854408830824214e+05	3.057728e-01	1.158998e-10
6.870209875062521e+05	3.051381e-01	1.156591e-10
6.886047344469677e+05	3.045045e-01	1.154188e-10
6.901921323014369e+05	3.038720e-01	1.151789e-10
6.917831894858849e+05	3.032404e-01	1.149394e-10
6.933779144359386e+05	3.026100e-01	1.147003e-10
6.949763156066709e+05	3.019805e-01	1.144616e-10
6.965784014726458e+05	3.013521e-01	1.142233e-10
6.981841805279630e+05	3.007247e-01	1.139853e-10
6.997936612863032e+05	3.000983e-01	1.137478e-10
7.014068522809731e+05	2.994730e-01	1.135107e-10
7.030237620649509e+05	2.988486e-01	1.132739e-10
7.046443992109313e+05	2.982254e-01	1.130376e-10
7.062687723113711e+05	2.976031e-01	1.128016e-10
7.078968899785347e+05	2.969819e-01	1.125660e-10
7.095287608445399e+05	2.963618e-01	1.123308e-10
7.111643935614036e+05	2.957426e-01	1.120960e-10
7.128037968010878e+05	2.951245e-01	1.118617e-10
7.144469792555451e+05	2.945074e-01	1.116277e-10
7.160939496367653e+05	2.938914e-01	1.113940e-10
7.177447166768215e+05	2.932764e-01	1.111608e-10
7.193992891279161e+05	2.926624e-01	1.109280e-10
7.210576757624277e+05	2.920495e-01	1.106956e-10
7.227198853729571e+05	2.914375e-01	1.104635e-10
7.243859267723741e+05	2.908267e-01	1.102319e-10
7.260558087938643e+05	2.902168e-01	1.100006e-10
7.277295402909762e+05	2.896080e-01	1.097698e-10
7.294071301376673e+05	2.890002e-01	1.095393e-10
7.310885872283521e+05	2.883934e-01	1.093092e-10
7.327739204779487e+05	2.877877e-01	1.090796e-10
7.344631388219263e+05	2.871830e-01	1.088503e-10
7.361562512163523e+05	2.865794e-01	1.086214e-10
7.378532666379401e+05	2.859767e-01	1.083929e-10
7.395541940840965e+05	2.853751e-01	1.081647e-10
7.412590425729695e+05	2.847745e-01	1.079370e-10
7.429678211434961e+05	2.841750e-01	1.077097e-10
7.446805388554502e+05	2.835765e-01	1.074827e-10
7.463972047894907e+05	2.829790e-01	1.072562e-10
7.481178280472093e+05	2.823825e-01	1.070300e-10
7.498424177511793e+05	2.817871e-01	1.068043e-10
7.515709830450036e+05	2.811927e-01	1.065789e-10
7.533035330933634e+05	2.805993e-01	1.063539e-10
7.550400770820666e+05	2.800069e-01	1.061293e-10
7.567806242180964e+05	2.794156e-01	1.059051e-10
7.585251837296606e+05	2.788253e-01	1.056813e-10
7.602737648662400e+05	2.782361e-01	1.054579e-10
7.620263768986377e+05	2.776478e-01	1.052348e-10
7.637830291190284e+05	2.770606e-01	1.050122e-10
7.655437308410071e+05	2.764744e-01	1.047899e-10
7.673084913996391e+05	2.758892e-01	1.045680e-10
7.690773201515093e+05	2.753051e-01	1.043466e-10
7.708502264747715e+05	2.747220e-01	1.041255e-10
7.726272197691987e+05	2.741399e-01	1.039048e-10
7.744083094562324e+05	2.735588e-01	1.036845e-10
7.761935049790327e+05	2.729787e-01	1.034645e-10
7.779828158025288e+05	2.723997e-01	1.032450e-10
7.797762514134683e+05	2.718217e-01	1.030259e-10
7.815738213204684e+05	2.712447e-01	1.028071e-10
7.833755350540659e+05	2.706687e-01	1.025887e-10
7.851814021667675e+05	2.700938e-01	1.023708e-10
7.869914322331010e+05	2.695198e-01	1.021532e-10
7.888056348496655e+05	2.689469e-01	1.019360e-10
7.906240196351827e+05	2.683750e-01	1.017191e-10
7.924465962305478e+05	2.678041e-01	1.015027e-10
7.942733742988803e+05	2.672343e-01	1.012866e-10
7.961043635255760e+05	2.666654e-01	1.010710e-10
7.979395736183572e+05	2.660976e-01	1.008557e-10
7.997790143073252e+05	2.655308e-01	1.006408e-10
8.016226953450115e+05	2.649650e-01	1.004263e-10
8.034706265064294e+05	2.644002e-01	1.002122e-10
8.053228175891258e+05	2.638364e-01	9.999845e-11
8.071792784132337e+05	2.632737e-01	9.978510e-11
8.090400188215234e+05	2.627120e-01	9.957214e-11
8.109050486794554e+05	2.621512e-01	9.935956e-11
8.127743778752324e+05	2.615915e-01	9.914736e-11
8.146480163198515e+05	2.610328e-01	9.893555e-11
8.165259739471574e+05	2.604751e-01	9.872412e-11
8.184082607138944e+05	2.599184e-01	9.851308e-11
8.202948865997597e+05	2.593627e-01	9.830241e-11
8.221858616074558e+05	2.588080e-01	9.809213e-11
8.240811957627439e+05	2.582544e-01	9.788224e-11
8.259808991144972e+05	2.577017e-01	9.767272e-11
8.278849817347537e+05	2.571501e-01	9.746359e-11
8.297934537187698e+05	2.565994e-01	9.725484e-11
8.317063251850741e+05	2.560498e-01	9.704647e-11
8.336236062755208e+05	2.555012e-01	9.683848e-11
8.355453071553431e+05	2.549535e-01	9.663087e-11
