Freq.	S21(v1)
1.18398457459697e+03	-6.52234680591664e-11,-5.42653223376139e-09
1.18852942375107e+03	-6.52289878142505e-11,-5.40587007654697e-09
1.19309171878604e+03	-6.52344958811217e-11,-5.38528727214518e-09
1.19767152666972e+03	-6.52399925853070e-11,-5.36478351845966e-09
1.20226891462701e+03	-6.52454782517914e-11,-5.34435851455481e-09
1.20688395014089e+03	-6.52509532046110e-11,-5.32401196065123e-09
1.21151670095334e+03	-6.52564177674106e-11,-5.30374355812145e-09
1.21616723506641e+03	-6.52618722633345e-11,-5.28355300948549e-09
1.22083562074315e+03	-6.52673170148044e-11,-5.26344001840648e-09
1.22552192650868e+03	-6.52727523438170e-11,-5.24340428968638e-09
1.23022622115114e+03	-6.52781785716480e-11,-5.22344552926158e-09
1.23494857372271e+03	-6.52835960194724e-11,-5.20356344419865e-09
1.23968905354067e+03	-6.52890050075870e-11,-5.18375774268998e-09
1.24444773018833e+03	-6.52944058560547e-11,-5.16402813404957e-09
1.24922467351616e+03	-6.52997988843841e-11,-5.14437432870870e-09
1.25401995364271e+03	-6.53051844117646e-11,-5.12479603821175e-09
1.25883364095573e+03	-6.53105627569068e-11,-5.10529297521192e-09
1.26366580611312e+03	-6.53159342381640e-11,-5.08586485346704e-09
1.26851652004403e+03	-6.53212991735461e-11,-5.06651138783536e-09
1.27338585394987e+03	-6.53266578806315e-11,-5.04723229427137e-09
1.27827387930539e+03	-6.53320106768170e-11,-5.02802728982168e-09
1.28318066785967e+03	-6.53373578790753e-11,-5.00889609262078e-09
1.28810629163721e+03	-6.53426998040903e-11,-4.98983842188701e-09
1.29305082293901e+03	-6.53480367684188e-11,-4.97085399791835e-09
1.29801433434358e+03	-6.53533690882942e-11,-4.95194254208841e-09
1.30299689870803e+03	-6.53586970795624e-11,-4.93310377684226e-09
1.30799858916917e+03	-6.53640210581065e-11,-4.91433742569242e-09
1.31301947914451e+03	-6.53693413395068e-11,-4.89564321321478e-09
1.31805964233341e+03	-6.53746582391186e-11,-4.87702086504457e-09
1.32311915271812e+03	-6.53799720722504e-11,-4.85847010787233e-09
1.32819808456489e+03	-6.53852831540811e-11,-4.83999066943993e-09
1.33329651242504e+03	-6.53905917995317e-11,-4.82158227853654e-09
1.33841451113607e+03	-6.53958983236318e-11,-4.80324466499469e-09
1.34355215582274e+03	-6.54012030411253e-11,-4.78497755968627e-09
1.34870952189819e+03	-6.54065062669086e-11,-4.76678069451863e-09
1.35388668506504e+03	-6.54118083157149e-11,-4.74865380243062e-09
1.35908372131652e+03	-6.54171095022663e-11,-4.73059661738871e-09
1.36430070693754e+03	-6.54224101412852e-11,-4.71260887438302e-09
1.36953771850585e+03	-6.54277105476569e-11,-4.69469030942350e-09
1.37479483289315e+03	-6.54330110359856e-11,-4.67684065953606e-09
1.38007212726623e+03	-6.54383119214198e-11,-4.65905966275869e-09
1.38536967908809e+03	-6.54436135187091e-11,-4.64134705813762e-09
1.39068756611906e+03	-6.54489161429225e-11,-4.62370258572351e-09
1.39602586641799e+03	-6.54542201092896e-11,-4.60612598656764e-09
1.40138465834335e+03	-6.54595257331026e-11,-4.58861700271811e-09
1.40676402055439e+03	-6.54648333298458e-11,-4.57117537721604e-09
1.41216403201232e+03	-6.54701432151467e-11,-4.55380085409187e-09
1.41758477198144e+03	-6.54754557048250e-11,-4.53649317836151e-09
1.42302632003033e+03	-6.54807711149999e-11,-4.51925209602270e-09
1.42848875603297e+03	-6.54860897619033e-11,-4.50207735405123e-09
1.43397216016998e+03	-6.54914119620706e-11,-4.48496870039725e-09
1.43947661292974e+03	-6.54967380323970e-11,-4.46792588398159e-09
1.44500219510960e+03	-6.55020682899565e-11,-4.45094865469204e-09
1.45054898781706e+03	-6.55074030522049e-11,-4.43403676337974e-09
1.45611707247096e+03	-6.55127426368917e-11,-4.41718996185549e-09
1.46170653080266e+03	-6.55180873621098e-11,-4.40040800288612e-09
1.46731744485729e+03	-6.55234375464379e-11,-4.38369064019089e-09
1.47294989699487e+03	-6.55287935086238e-11,-4.36703762843787e-09
1.47860396989162e+03	-6.55341555681498e-11,-4.35044872324034e-09
1.48427974654107e+03	-6.55395240446041e-11,-4.33392368115320e-09
1.48997731025538e+03	-6.55448992582246e-11,-4.31746225966944e-09
1.49569674466646e+03	-6.55502815297245e-11,-4.30106421721654e-09
1.50143813372730e+03	-6.55556711801378e-11,-4.28472931315300e-09
1.50720156171312e+03	-6.55610685312437e-11,-4.26845730776473e-09
1.51298711322264e+03	-6.55664739052196e-11,-4.25224796226161e-09
1.51879487317934e+03	-6.55718876247918e-11,-4.23610103877395e-09
1.52462492683268e+03	-6.55773100132497e-11,-4.22001630034904e-09
1.53047735975935e+03	-6.55827413946500e-11,-4.20399351094766e-09
1.53635225786454e+03	-6.55881820933639e-11,-4.18803243544059e-09
1.54224970738320e+03	-6.55936324346643e-11,-4.17213283960526e-09
1.54816979488130e+03	-6.55990927443617e-11,-4.15629449012222e-09
1.55411260725710e+03	-6.56045633489241e-11,-4.14051715457179e-09
1.56007823174243e+03	-6.56100445755809e-11,-4.12480060143063e-09
1.56606675590397e+03	-6.56155367522649e-11,-4.10914460006834e-09
1.57207826764454e+03	-6.56210402075838e-11,-4.09354892074413e-09
1.57811285520436e+03	-6.56265552709815e-11,-4.07801333460340e-09
1.58417060716240e+03	-6.56320822726257e-11,-4.06253761367441e-09
1.59025161243763e+03	-6.56376215435553e-11,-4.04712153086498e-09
1.59635596029035e+03	-6.56431734155144e-11,-4.03176485995910e-09
1.60248374032350e+03	-6.56487382212531e-11,-4.01646737561367e-09
1.60863504248396e+03	-6.56543162941702e-11,-4.00122885335519e-09
1.61480995706389e+03	-6.56599079687473e-11,-3.98604906957646e-09
1.62100857470204e+03	-6.56655135803012e-11,-3.97092780153330e-09
1.62723098638509e+03	-6.56711334650437e-11,-3.95586482734136e-09
1.63347728344899e+03	-6.56767679601636e-11,-3.94085992597276e-09
1.63974755758027e+03	-6.56824174038242e-11,-3.92591287725294e-09
1.64604190081742e+03	-6.56880821350977e-11,-3.91102346185744e-09
1.65236040555224e+03	-6.56937624943191e-11,-3.89619146130863e-09
1.65870316453118e+03	-6.56994588225184e-11,-3.88141665797258e-09
1.66507027085669e+03	-6.57051714620333e-11,-3.86669883505580e-09
1.67146181798863e+03	-6.57109007561699e-11,-3.85203777660217e-09
1.67787789974559e+03	-6.57166470493934e-11,-3.83743326748967e-09
1.68431861030632e+03	-6.57224106872529e-11,-3.82288509342735e-09
1.69078404421106e+03	-6.57281920164272e-11,-3.80839304095207e-09
1.69727429636296e+03	-6.57339913848485e-11,-3.79395689742548e-09
1.70378946202948e+03	-6.57398091415243e-11,-3.77957645103088e-09
1.71032963684376e+03	-6.57456456367049e-11,-3.76525149077009e-09
1.71689491680604e+03	-6.57515012219874e-11,-3.75098180646038e-09
1.72348539828506e+03	-6.57573762500753e-11,-3.73676718873146e-09
1.73010117801949e+03	-6.57632710751141e-11,-3.72260742902229e-09
1.73674235311935e+03	-6.57691860523497e-11,-3.70850231957816e-09
1.74340902106742e+03	-6.57751215385296e-11,-3.69445165344759e-09
1.75010127972066e+03	-6.57810778916690e-11,-3.68045522447929e-09
1.75681922731169e+03	-6.57870554711945e-11,-3.66651282731918e-09
1.76356296245020e+03	-6.57930546378532e-11,-3.65262425740741e-09
1.77033258412438e+03	-6.57990757539623e-11,-3.63878931097527e-09
1.77712819170244e+03	-6.58051191831641e-11,-3.62500778504233e-09
1.78394988493399e+03	-6.58111852906262e-11,-3.61127947741343e-09
1.79079776395156e+03	-6.58172744429635e-11,-3.59760418667566e-09
1.79767192927203e+03	-6.58233870082651e-11,-3.58398171219557e-09
1.80457248179813e+03	-6.58295233563179e-11,-3.57041185411605e-09
1.81149952281993e+03	-6.58356838582850e-11,-3.55689441335355e-09
1.81845315401631e+03	-6.58418688870720e-11,-3.54342919159514e-09
1.82543347745643e+03	-6.58480788171682e-11,-3.53001599129556e-09
1.83244059560129e+03	-6.58543140246117e-11,-3.51665461567442e-09
1.83947461130516e+03	-6.58605748872286e-11,-3.50334486871322e-09
1.84653562781716e+03	-6.58668617844109e-11,-3.49008655515262e-09
1.85362374878273e+03	-6.58731750973663e-11,-3.47687948048946e-09
1.86073907824514e+03	-6.58795152089681e-11,-3.46372345097400e-09
1.86788172064709e+03	-6.58858825039380e-11,-3.45061827360706e-09
1.87505178083215e+03	-6.58922773686868e-11,-3.43756375613722e-09
1.88224936404637e+03	-6.58987001914669e-11,-3.42455970705800e-09
1.88947457593978e+03	-6.59051513624722e-11,-3.41160593560506e-09
1.89672752256798e+03	-6.59116312736572e-11,-3.39870225175342e-09
1.90400831039364e+03	-6.59181403188790e-11,-3.38584846621470e-09
1.91131704628815e+03	-6.59246788939565e-11,-3.37304439043437e-09
1.91865383753308e+03	-6.59312473966208e-11,-3.36028983658896e-09
1.92601879182186e+03	-6.59378462266320e-11,-3.34758461758330e-09
1.93341201726129e+03	-6.59444757856656e-11,-3.33492854704789e-09
1.94083362237314e+03	-6.59511364775358e-11,-3.32232143933607e-09
1.94828371609577e+03	-6.59578287079681e-11,-3.30976310952140e-09
1.95576240778570e+03	-6.59645528849139e-11,-3.29725337339490e-09
1.96326980721924e+03	-6.59713094183017e-11,-3.28479204746240e-09
1.97080602459407e+03	-6.59780987203517e-11,-3.27237894894184e-09
1.97837117053090e+03	-6.59849212052962e-11,-3.26001389576063e-09
1.98596535607504e+03	-6.59917772896812e-11,-3.24769670655299e-09
1.99358869269807e+03	-6.59986673921416e-11,-3.23542720065728e-09
2.00124129229948e+03	-6.60055919337283e-11,-3.22320519811341e-09
2.00892326720828e+03	-6.60125513376650e-11,-3.21103051966018e-09
2.01663473018468e+03	-6.60195460294663e-11,-3.19890298673268e-09
2.02437579442171e+03	-6.60265764370809e-11,-3.18682242145971e-09
2.03214657354693e+03	-6.60336429907318e-11,-3.17478864666114e-09
2.03994718162406e+03	-6.60407461230768e-11,-3.16280148584540e-09
2.04777773315466e+03	-6.60478862692081e-11,-3.15086076320684e-09
2.05563834307982e+03	-6.60550638666367e-11,-3.13896630362320e-09
2.06352912678185e+03	-6.60622793554227e-11,-3.12711793265307e-09
2.07145020008596e+03	-6.60695331780543e-11,-3.11531547653333e-09
2.07940167926197e+03	-6.60768257796612e-11,-3.10355876217665e-09
2.08738368102601e+03	-6.60841576079002e-11,-3.09184761716893e-09
2.09539632254225e+03	-6.60915291130169e-11,-3.08018186976681e-09
2.10343972142458e+03	-6.60989407479234e-11,-3.06856134889518e-09
2.11151399573840e+03	-6.61063929682611e-11,-3.05698588414470e-09
2.11961926400228e+03	-6.61138862322621e-11,-3.04545530576929e-09
2.12775564518976e+03	-6.61214210009549e-11,-3.03396944468366e-09
2.13592325873107e+03	-6.61289977381389e-11,-3.02252813246092e-09
2.14412222451487e+03	-6.61366169103973e-11,-3.01113120133001e-09
2.15235266289004e+03	-6.61442789871470e-11,-2.99977848417338e-09
2.16061469466744e+03	-6.61519844407031e-11,-2.98846981452449e-09
2.16890844112164e+03	-6.61597337462222e-11,-2.97720502656542e-09
2.17723402399278e+03	-6.61675273818125e-11,-2.96598395512447e-09
2.18559156548828e+03	-6.61753658286030e-11,-2.95480643567369e-09
2.19398118828468e+03	-6.61832495706456e-11,-2.94367230432660e-09
2.20240301552942e+03	-6.61911790950910e-11,-2.93258139783571e-09
2.21085717084265e+03	-6.61991548920787e-11,-2.92153355359021e-09
2.21934377831908e+03	-6.62071774549460e-11,-2.91052860961360e-09
2.22786296252972e+03	-6.62152472801068e-11,-2.89956640456133e-09
2.23641484852381e+03	-6.62233648671452e-11,-2.88864677771842e-09
2.24499956183056e+03	-6.62315307189127e-11,-2.87776956899722e-09
2.25361722846107e+03	-6.62397453414518e-11,-2.86693461893500e-09
2.26226797491014e+03	-6.62480092441019e-11,-2.85614176869167e-09
2.27095192815811e+03	-6.62563229395480e-11,-2.84539086004751e-09
2.27966921567278e+03	-6.62646869437642e-11,-2.83468173540080e-09
2.28841996541123e+03	-6.62731017761821e-11,-2.82401423776561e-09
2.29720430582172e+03	-6.62815679596542e-11,-2.81338821076948e-09
